# Serial Port vs IDP Detection Result Comparison Log
# Format: [TIMESTAMP] ROUND_ID | SERIAL_RESULT | IDP_RESULT | MATCH_STATUS | NOTES
# ================================================================================
[2025-11-18 14:15:46.319] ARO-001-a06a1296-92d7-43a9-aa7b-53b0e92ae33f | SERIAL: 32 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:06:29.200] ARO-001-084e1982-74b3-4e32-9e47-9899fea0b807 | SERIAL: 15 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:07:15.204] ARO-001-b968ea8b-f6f4-4e1c-95c4-d62a7edfbf96 | SERIAL: 9 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:07:56.699] ARO-001-928ccac0-716c-44f5-a590-86c50ee5b840 | SERIAL: 25 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:08:44.706] ARO-001-6f6754a5-2024-4808-a93a-e5924a46a153 | SERIAL: 9 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:09:23.223] ARO-001-46ad341a-05d6-43b5-9bdd-cdcff5778799 | SERIAL: 16 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:10:12.731] ARO-001-6cf324dd-1ab5-4e31-8e30-043eda7e2408 | SERIAL: 22 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:12:40.744] ARO-001-ae8153df-f7fc-451e-8cc5-983bc89a91e9 | SERIAL: 9 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:13:33.694] ARO-001-d905419f-7123-4058-bc28-5a850844e748 | SERIAL: 12 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:14:12.755] ARO-001-d033a57d-6799-4bdc-a5d6-e270eebbd294 | SERIAL: 26 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:14:56.746] ARO-001-ac78eb36-36c9-4fae-9380-823de4ea4980 | SERIAL: 3 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:15:41.757] ARO-001-d0027d41-d2f1-4ed3-b039-0091cd3e66a1 | SERIAL: 2 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:16:27.765] ARO-001-0259c84f-8de7-4179-b4ec-8ba18515bb5c | SERIAL: 36 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:17:12.257] ARO-001-c65bf610-8faf-4c2e-8086-61df61fad139 | SERIAL: 15 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:18:10.259] ARO-001-345c6560-c126-4a51-aaf3-9576097b5b30 | SERIAL: 21 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:18:59.263] ARO-001-4f7de31a-df1a-476f-a043-7db9eb1c9eb4 | SERIAL: 30 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:19:46.769] ARO-001-3050e6cf-ab33-4735-bbf0-1d5d9d271a6c | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:20:33.775] ARO-001-f30ec5ae-21b7-493c-9314-3c8230763f5a | SERIAL: 23 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:21:20.804] ARO-001-864cc0db-9420-4511-8e6a-c8b671edd782 | SERIAL: 23 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:23:28.304] ARO-001-f7d3941f-605d-4031-b064-cd2ff79bfa1f | SERIAL: 35 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:24:14.800] ARO-001-6a7dad6a-b092-46d2-8c32-4bd210161d5d | SERIAL: 14 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:25:14.816] ARO-001-a183bf21-6abb-4c04-92a9-87a371d7be5e | SERIAL: 13 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:25:56.313] ARO-001-23901a9e-bd8d-467b-b018-20262625341b | SERIAL: 33 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:26:48.811] ARO-001-a47aef51-c944-403d-bcc1-159a4a839e9b | SERIAL: 20 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:27:31.310] ARO-001-161e64bd-a8fb-469d-b2f6-d2f2e2ea8a73 | SERIAL: 25 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:28:29.814] ARO-001-3f3cafa9-9175-44de-9bb9-15e60dcf761a | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:29:11.826] ARO-001-4fa64d9b-55a6-4de5-9621-f0fb8eb4eb05 | SERIAL: 20 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:30:03.818] ARO-001-5a819800-74a4-4a71-9a49-73133e71c3ab | SERIAL: 22 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:31:15.271] ARO-001-5e340601-c136-4281-b66f-494403dafce5 | SERIAL: 32 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:32:21.848] ARO-001-ed9d7d56-231c-4ad1-b202-19df3b2c5bf7 | SERIAL: 33 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:33:31.575] ARO-001-4003607b-3ff0-43e8-972e-a7e449b48a44 | SERIAL: 35 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:34:10.858] ARO-001-638fc266-43b5-4b07-ba80-fe787b52d974 | SERIAL: 5 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 05:35:02.845] ARO-001-0bf63887-8868-4010-a5d9-9c6ec06b0d07 | SERIAL: 34 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:22:07.944] ARO-001-5c898cd7-8cae-4f9a-818e-c414352c6f57 | SERIAL: 19 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:22:54.958] ARO-001-1a661ff2-f917-4937-9ee8-dc2e5e173db8 | SERIAL: 11 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:23:44.454] ARO-001-5659582a-e692-43f1-9523-9dade6815859 | SERIAL: 3 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:24:57.376] ARO-001-17ca30ca-dc47-4c31-a528-1894bac9b63e | SERIAL: 9 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:26:00.583] ARO-001-a253bfae-f9e3-4bc6-a733-2b39f81d6f63 | SERIAL: 1 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:26:37.966] ARO-001-82a361c7-cb67-49c0-a70d-b9d6c258b82e | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:27:26.974] ARO-001-3f621cef-510a-4077-81d1-1e4baa04342d | SERIAL: 3 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:28:17.482] ARO-001-cf23e86d-bb02-4d14-8362-dd0eda3ff230 | SERIAL: 3 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:29:02.479] ARO-001-010f428d-2bc8-41dc-b375-0b23873019bc | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:29:48.995] ARO-001-55f748f6-afe9-4336-91d7-c53cfe06c759 | SERIAL: 3 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:30:33.487] ARO-001-6c7b5cb0-5d3f-4903-9f8e-18ceb67200b6 | SERIAL: 23 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:31:18.496] ARO-001-fd654c81-459e-475f-b72d-42d3c4d67746 | SERIAL: 35 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:32:08.505] ARO-001-073854e0-d01d-4c04-a502-848f3b5b1747 | SERIAL: 34 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:32:53.506] ARO-001-0c8db96e-1789-4abf-9434-d1bff4cabd29 | SERIAL: 2 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:33:40.521] ARO-001-ec4b984f-5ec9-41de-b874-cf8548b39732 | SERIAL: 18 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:36:00.217] ARO-001-51c8e4d3-cc3d-4dc1-8e17-fcf3c427bffd | SERIAL: 28 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:37:04.917] ARO-001-0edbb146-18c4-44cb-b17e-9c1dacbd15e8 | SERIAL: 13 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:38:10.886] ARO-001-c9983416-3199-4c61-b9fc-0fac2d5dca8e | SERIAL: 0 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:38:52.046] ARO-001-ab93b94d-ff62-44c0-a911-40749827f025 | SERIAL: 33 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:39:40.540] ARO-001-44d5f330-0f88-4a29-84fd-9c0513f52c9a | SERIAL: 22 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:40:24.045] ARO-001-215437e2-99da-418f-8a29-7eb4e96723c7 | SERIAL: 36 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:41:12.062] ARO-001-73deceaf-3caf-4043-8aca-f8479a957b44 | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:43:21.056] ARO-001-39ac4ec2-4584-46ce-9e72-5911c47cc523 | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:44:12.560] ARO-001-99f41ed1-3811-45f4-bb1a-32a0d12c87df | SERIAL: 0 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:45:02.578] ARO-001-acdf0a0f-6368-438c-a020-6639797877aa | SERIAL: 21 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:46:10.086] ARO-001-788c3ce2-63be-4975-b6cc-46ad16df28b0 | SERIAL: 11 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:46:51.077] ARO-001-7fe623a6-0137-46b7-911e-c4d0b24ed080 | SERIAL: 0 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:47:46.085] ARO-001-dcdb78f4-9869-46a9-8ed1-ab0cb79f1b92 | SERIAL: 25 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:48:35.098] ARO-001-3fd517d2-5a85-4f2c-be4c-de0058e7dcaf | SERIAL: 29 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:49:23.592] ARO-001-da832ea5-cc66-4947-a01e-77d0a5cecba8 | SERIAL: 5 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:51:25.611] ARO-001-817f6f15-544e-474d-8d0b-169b030e4d95 | SERIAL: 27 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:52:24.110] ARO-001-f74d9f8d-c68d-47ac-94fc-38857bb43794 | SERIAL: 28 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:53:08.623] ARO-001-1f53afe2-89ba-43ac-8702-05183ccd5f84 | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:53:56.622] ARO-001-8b37ef5e-1f3a-48c6-bcaa-590868e2e29e | SERIAL: 1 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:54:42.122] ARO-001-9751377f-2fac-4c15-bb4c-9eaf2668ac26 | SERIAL: 12 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:55:37.133] ARO-001-6c1a3952-193a-4b99-9f60-8f72bdccc7e6 | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:56:18.638] ARO-001-47e2690c-b326-4743-9164-68cb32c3b32e | SERIAL: 10 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:57:07.632] ARO-001-d6f4341f-7101-49f8-a0d6-2448059a062a | SERIAL: 19 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:57:54.640] ARO-001-fd6e5202-4ee8-4ea3-ad21-ac2cf359ba6d | SERIAL: 20 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:58:39.157] ARO-001-8ecf9a76-8646-4487-a590-7199689bd4b3 | SERIAL: 15 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 07:59:27.647] ARO-001-a3392d46-22da-4288-9120-d3b650d030d0 | SERIAL: 10 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:00:14.166] ARO-001-588d8f6c-5f89-41d2-ad59-ddca08999573 | SERIAL: 16 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:00:58.164] ARO-001-1bd61228-ff24-4b8b-8554-f26912ef5485 | SERIAL: 33 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:01:50.668] ARO-001-c3c5c57f-53fd-43a3-8130-6a7dee531b16 | SERIAL: 22 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:02:37.172] ARO-001-880a08b0-c611-42e1-9ca1-f3788c54ac06 | SERIAL: 32 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:03:26.173] ARO-001-12caf5c1-a44d-45ba-88ca-b48a231c8833 | SERIAL: 20 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:04:12.678] ARO-001-a5494dc4-1821-4206-8480-7bfa80957e9a | SERIAL: 21 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:05:01.179] ARO-001-6dff0735-2f51-49b4-96a9-8f8c1374697c | SERIAL: 12 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:05:45.689] ARO-001-edee6938-ebee-4b01-af2c-6eee2fbc1933 | SERIAL: 25 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:06:33.695] ARO-001-3c59dad3-d00c-43b4-8a52-3071a375328b | SERIAL: 3 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:08:39.710] ARO-001-1aa11d06-27ab-4a60-96ec-766f03c4e270 | SERIAL: 27 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:09:25.210] ARO-001-df7548b4-faee-4df4-9f1b-46459bcd7fe4 | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:10:13.225] ARO-001-e025ede8-7798-49e2-a0b9-b7a298b1fc03 | SERIAL: 27 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:10:58.211] ARO-001-d10522c8-c854-4809-b44a-59c22507984e | SERIAL: 35 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:11:44.719] ARO-001-d26e1fbc-239a-43bc-b8f4-84c52faf122f | SERIAL: 12 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:12:35.218] ARO-001-eeca0edb-7229-4397-8fc0-e8c3c6e08625 | SERIAL: 6 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:13:50.218] ARO-001-bb01ceaa-5080-4816-bb5c-20164c85917b | SERIAL: 12 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:14:30.229] ARO-001-6b02e347-bb94-40f9-84a5-cf999e84b927 | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:15:21.731] ARO-001-5e173fa7-25ca-439b-a915-a6f331960124 | SERIAL: 31 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:17:17.755] ARO-001-0a0d5831-3abd-419d-ac1d-8d255bb6fa4f | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:18:15.265] ARO-001-c53b55a9-d861-4c9d-af58-b9cadb7080db | SERIAL: 15 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:18:58.770] ARO-001-e2b23ef5-e82b-494b-922a-e98207b19dd2 | SERIAL: 29 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:19:48.270] ARO-001-e7211ded-032a-418c-9054-6f633647ba48 | SERIAL: 0 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:20:38.271] ARO-001-89abe89d-e4e2-4c2b-af2b-5fbf66e41699 | SERIAL: 32 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 08:23:44.786] ARO-001-93d916b8-d668-4f52-a5a9-988125243709 | SERIAL: 24 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:31:56.157] ARO-001-8d3de9c6-1678-449b-b272-be5a63c498a8 | SERIAL: 21 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:32:49.169] ARO-001-e4f9dc55-aaa3-4b4a-88fa-7173d1c6fc88 | SERIAL: 24 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:33:33.170] ARO-001-863fdd92-4473-42fc-8ce7-1b9cb9657945 | SERIAL: 26 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:34:23.176] ARO-001-5105e7d0-0ba2-45e2-9a64-b2dbf4296e39 | SERIAL: 27 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:35:09.169] ARO-001-7b78ed55-06b8-4e3a-a65f-8c0d366ee663 | SERIAL: 18 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:35:59.687] ARO-001-94aa0f70-4f48-41bb-8696-cbeaa92a40d7 | SERIAL: 1 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:37:50.691] ARO-001-208ced17-48ca-4ca6-9f7c-cf25ea84218a | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:38:40.199] ARO-001-2a159218-421f-4566-8f87-fb4bf0c6f25d | SERIAL: 26 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:39:55.234] ARO-001-88da7163-df56-4b28-a73f-a8240095755f | SERIAL: 23 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:40:28.199] ARO-001-696676d3-3a84-4f23-8f74-8903c5c31427 | SERIAL: 12 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:41:14.207] ARO-001-8e8a9f9e-91de-4286-b971-44c9fd5e2fdd | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:42:18.560] ARO-001-38d9174b-d253-4e5f-98e2-b198e0d8c3e8 | SERIAL: 7 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:43:02.724] ARO-001-316ada83-deff-4f24-9c5f-e2d28b11f49f | SERIAL: 2 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:43:52.718] ARO-001-7cb002b8-cc83-409f-85d2-ec96fb2480aa | SERIAL: 4 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:44:40.222] ARO-001-b5897e9b-3dab-490a-8975-13f6660ada42 | SERIAL: 33 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:45:33.232] ARO-001-d6eb706b-7e45-4981-b71d-ecfd03f4e768 | SERIAL: 6 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:46:18.238] ARO-001-60fb9f4c-7500-468e-bfd0-e2be1964078e | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:47:06.237] ARO-001-721ec810-32a0-4670-8599-cb8e764d55b3 | SERIAL: 10 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:47:51.253] ARO-001-4743d9f9-f75a-4d67-9ee9-16d065e57ce0 | SERIAL: 0 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:48:38.241] ARO-001-9da844d7-d0d1-4ec2-aff9-a9f8e04bf29f | SERIAL: 13 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:49:30.767] ARO-001-f016ac76-c2d0-43ed-a968-892523338db0 | SERIAL: 26 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:50:17.764] ARO-001-a304d043-bd2d-496a-9c0c-c532405cf9df | SERIAL: 33 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:51:24.033] ARO-001-6e7f4b3a-aa59-40c3-8a69-e7cf8fad0038 | SERIAL: 28 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:52:26.058] ARO-001-dfad0066-54ec-4d3f-8cdd-504f6fb5e6f6 | SERIAL: 16 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:53:07.767] ARO-001-736a64db-6554-495c-a5be-c0a89607cb94 | SERIAL: 15 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:53:57.790] ARO-001-5f90fb36-f682-47cd-a3f2-2eea671597fd | SERIAL: 22 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:54:41.289] ARO-001-4faec3a8-cc4e-4d34-9831-8eb653b576e5 | SERIAL: 28 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:55:37.292] ARO-001-71841962-18ad-4071-aa84-7ac1234d66e8 | SERIAL: 12 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
